Filename,Artifact,Black,Blue,Colorless,Creature,Enchantment,Green,InstantSorcery,Land,Planeswalker,Red,White
uds_76,0,0,0,0,0,1,0,0,0,0,1,0
lgn_122,0,0,0,0,1,0,1,0,0,0,0,0
apc_138,1,0,0,1,0,0,0,0,0,0,0,0
rix_99,0,0,0,0,1,0,0,0,0,0,1,0
aer_171,1,0,0,1,0,0,0,0,0,0,0,0
ktk_230,0,0,0,1,0,0,0,0,1,0,0,0
exo_34,0,0,1,0,0,0,0,1,0,0,0,0
drk_55,0,1,0,0,0,0,0,1,0,0,0,0
chr_114a,0,0,0,1,0,0,0,0,1,0,0,0
dtk_159,0,0,0,0,1,0,0,0,0,0,1,0
vma_171,0,0,0,0,1,0,0,0,0,0,1,0
5dn_32,0,0,1,0,1,0,0,0,0,0,0,0
war_267,0,0,0,0,0,0,0,1,0,0,0,1
shm_16,0,0,0,0,1,0,0,0,0,0,0,1
vis_117,0,0,0,0,1,0,1,0,0,0,0,0
mrd_181,1,0,0,1,0,0,0,0,0,0,0,0
m11_177,0,0,0,0,1,0,1,0,0,0,0,0
tsp_116,0,1,0,0,1,0,0,0,0,0,0,0
tmp_201,0,0,0,0,0,0,0,1,0,0,1,0
con_86,0,0,0,0,1,0,1,0,0,0,0,0
xln_164,0,0,0,0,1,0,0,0,0,0,1,0
mrd_89,0,0,0,0,0,0,0,1,0,0,1,0
prm_43606,0,0,1,0,0,0,0,1,0,0,0,0
eve_21,0,0,1,0,0,0,0,1,0,0,0,0
c15_23,0,1,0,0,0,0,0,1,0,0,0,0
pwp11_77,0,0,0,0,1,0,0,0,0,0,0,1
tsp_146,0,0,0,0,1,0,0,0,0,0,1,0
inv_99,0,1,0,0,0,0,0,1,0,0,0,0
avr_136,0,0,0,0,1,0,0,0,0,0,1,0
fem_41c,0,1,0,0,1,0,0,0,0,0,0,0
ptk_54,0,0,1,0,1,0,0,0,0,0,0,0
rix_110,0,0,0,0,0,0,0,1,0,0,1,0
xln_50,0,0,1,0,1,0,0,0,0,0,0,0
bng_91,0,0,0,0,0,1,0,0,0,0,1,0
tm13_3,0,0,0,0,1,0,0,0,0,0,0,1
vis_40,0,0,1,0,0,0,0,1,0,0,0,0
eld_104,0,1,0,0,0,1,0,0,0,0,0,0
mor_55,0,0,1,0,1,0,0,0,0,0,0,0
f10_5,0,0,0,1,0,0,0,0,1,0,0,0
tsp_142,0,0,0,0,1,0,0,0,0,0,1,0
rtr_114,0,0,0,0,1,0,1,0,0,0,0,0
leg_93,0,1,0,0,1,0,0,0,0,0,0,0
rav_79,0,1,0,0,1,0,0,0,0,0,0,0
rtr_68,0,1,0,0,1,0,0,0,0,0,0,0
aer_82,0,0,0,0,1,0,0,0,0,0,1,0
ori_89,0,1,0,0,0,0,0,1,0,0,0,0
avr_20,0,0,0,0,0,0,0,1,0,0,0,1
jud_79,0,0,0,0,1,0,0,0,0,0,1,0
lrw_148,0,0,0,0,1,0,0,0,0,0,1,0
m14_183,0,0,0,0,0,0,1,1,0,0,0,0
som_212,1,0,0,1,0,0,0,0,0,0,0,0
pm12_82,0,1,0,0,1,0,0,0,0,0,0,0
7ed_110,0,0,1,0,1,0,0,0,0,0,0,0
7ed_181,0,0,0,0,0,1,0,0,0,0,1,0
scg_87,0,0,0,0,1,0,0,0,0,0,1,0
con_49,0,1,0,0,1,0,0,0,0,0,0,0
zen_194,0,0,0,0,1,0,1,0,0,0,0,0
prm_40060,0,0,0,0,0,0,1,0,1,0,0,0
ktk_29,0,0,0,0,1,0,0,0,0,0,0,1
xln_158,0,0,0,0,0,0,0,1,0,0,1,0
cn2_33,0,0,1,0,1,0,0,0,0,0,0,0
5dn_5,0,0,0,0,1,0,0,0,0,0,0,1
bok_149,0,0,0,0,0,0,1,1,0,0,0,0
m19_22,0,0,0,0,1,0,0,0,0,0,0,1
exo_125,0,0,0,0,0,1,1,0,0,0,0,0
ons_208,0,0,0,0,1,0,0,0,0,0,1,0
bng_44,0,0,1,0,1,0,0,0,0,0,0,0
leg_304,0,0,0,1,0,0,0,0,1,0,0,0
bng_104,0,0,0,0,1,0,0,0,0,0,1,0
leg_5,0,0,0,0,0,0,0,1,0,0,0,1
dka_102,0,0,0,0,1,0,0,0,0,0,1,0
war_59,0,0,1,0,0,0,0,1,0,0,0,0
dka_119,0,0,0,0,0,0,1,1,0,0,0,0
mh1_178,0,0,0,0,0,0,1,1,0,0,0,0
fem_63,0,0,0,0,1,0,0,0,0,0,1,0
g09_4,0,0,0,0,0,1,1,0,0,0,0,0
m13_131,0,0,0,0,1,0,0,0,0,0,1,0
kld_16,0,0,0,0,1,0,0,0,0,0,0,1
ons_137,0,1,0,0,0,0,0,1,0,0,0,0
mrd_251,1,0,0,1,0,0,0,0,0,0,0,0
hou_2,0,0,0,0,1,0,0,0,0,0,0,1
mm3_27,0,0,0,0,1,0,0,0,0,0,0,1
emn_160,0,0,0,0,0,0,1,1,0,0,0,0
ktk_65,0,1,0,0,0,0,0,1,0,0,0,0
nph_100,0,0,0,0,0,0,0,1,0,0,1,0
hml_71,0,0,0,0,1,0,0,0,0,0,1,0
m11_133,0,0,0,0,0,0,0,1,0,0,1,0
ths_180,0,0,0,0,1,0,1,0,0,0,0,0
g06_2,0,0,0,0,1,0,0,0,0,0,1,0
tsp_162,0,0,0,0,0,0,0,1,0,0,1,0
m20_193,0,0,0,0,0,0,1,1,0,0,0,0
hml_30b,0,0,1,0,1,0,0,0,0,0,0,0
bng_9,0,0,0,0,0,1,0,0,0,0,0,1
ala_29,0,0,0,0,1,0,0,0,0,0,0,1
g09_1,0,1,0,0,0,0,0,1,0,0,0,0
m10_150,0,0,0,0,0,0,0,1,0,0,1,0
sok_45,0,0,1,0,1,0,0,0,0,0,0,0
all_34a,0,0,1,0,1,0,0,0,0,0,0,0
dst_60,0,0,0,0,0,0,0,1,0,0,1,0
ori_147,0,0,0,0,0,1,0,0,0,0,1,0
tsp_185,0,0,0,0,1,0,0,0,0,0,1,0
m13_114,0,1,0,0,1,0,0,0,0,0,0,0
m15_219,1,0,0,1,0,0,0,0,0,0,0,0
dis_38,0,1,0,0,0,0,0,1,0,0,0,0
bfz_175,0,0,0,0,0,0,1,1,0,0,0,0
ody_348,0,0,0,0,0,0,1,0,1,0,0,0
mmq_304,1,0,0,1,0,0,0,0,0,0,0,0
m15_199,0,0,0,0,1,0,1,0,0,0,0,0
prel_12,0,0,0,0,1,0,0,0,0,0,1,0
ogw_124,0,0,0,0,1,0,1,0,0,0,0,0
mmq_45,0,0,0,0,0,1,0,0,0,0,0,1
5ed_339,0,0,0,0,0,1,1,0,0,0,0,0
som_35,0,0,1,0,0,1,0,0,0,0,0,0
tbfz_6,0,0,0,0,1,0,0,0,0,0,0,1
5dn_57,0,1,0,0,0,0,0,1,0,0,0,0
eve_179,0,0,0,1,0,0,0,0,1,0,0,0
inv_201,0,0,0,0,1,0,1,0,0,0,0,0
mir_60,0,0,1,0,1,0,0,0,0,0,0,0
lea_178,0,0,0,0,0,0,0,1,0,0,1,0
avr_75,0,0,1,0,0,1,0,0,0,0,0,0
7ed_204,0,0,0,0,1,0,0,0,0,0,1,0
hou_86,0,0,0,0,0,0,0,1,0,0,1,0
7ed_207,0,0,0,0,0,0,0,1,0,0,1,0
m11_162,0,0,0,0,0,0,1,1,0,0,0,0
eld_52,1,0,1,0,0,0,0,0,0,0,0,0
rtr_3,0,0,0,0,0,1,0,0,0,0,0,1
shm_102,0,0,0,0,0,0,0,1,0,0,1,0
ons_154,0,1,0,0,1,0,0,0,0,0,0,0
mmq_67,0,0,1,0,1,0,0,0,0,0,0,0
twar_8,0,1,0,0,1,0,0,0,0,0,0,0
kld_235,1,0,0,1,0,0,0,0,0,0,0,0
uma_35,0,0,0,0,0,1,0,0,0,0,0,1
m19_91,0,1,0,0,1,0,0,0,0,0,0,0
leg_53,0,0,1,0,0,0,0,1,0,0,0,0
rav_131,0,0,0,0,1,0,0,0,0,0,1,0
pm10_118,0,1,0,0,1,0,0,0,0,0,0,0
prw2_B5,0,1,0,0,0,0,0,0,1,0,0,0
hml_63b,0,0,0,0,1,0,0,0,0,0,1,0
ori_265,0,0,0,0,0,0,0,0,1,0,1,0
dst_155,1,0,0,1,0,0,0,0,0,0,0,0
c18_17,0,1,0,0,1,0,0,0,0,0,0,0
usg_22,0,0,0,0,0,1,0,0,0,0,0,1
lea_138,0,0,0,0,0,1,0,0,0,0,1,0
mmq_238,0,0,0,0,1,0,1,0,0,0,0,0
pss3_5,0,0,0,0,0,0,1,0,1,0,0,0
akh_128,0,0,0,0,1,0,0,0,0,0,1,0
xln_245,1,0,0,1,0,0,0,0,0,0,0,0
war_169,0,0,0,0,0,0,1,0,0,1,0,0
dtk_20,0,0,0,0,1,0,0,0,0,0,0,1
tsp_168,0,0,0,0,0,0,0,1,0,0,1,0
bfz_114,0,1,0,0,1,0,0,0,0,0,0,0
ktk_156,0,0,0,0,1,0,1,0,0,0,0,0
pal06_5,0,0,0,0,0,0,1,0,1,0,0,0
c18_14,0,1,0,0,1,0,0,0,0,0,0,0
p02_57,0,0,1,0,0,0,0,1,0,0,0,0
5ed_192,0,1,0,0,1,0,0,0,0,0,0,0
leg_178,0,0,0,0,0,1,1,0,0,0,0,0
ori_205,0,0,0,0,0,0,1,1,0,0,0,0
lea_199,0,0,0,0,1,0,1,0,0,0,0,0
ice_67,0,0,1,0,0,0,0,1,0,0,0,0
bbd_9,0,0,0,0,1,0,0,0,0,0,1,0
lea_65,0,0,1,0,0,0,0,1,0,0,0,0
mir_118,0,1,0,0,0,0,0,1,0,0,0,0
tlrw_4,0,0,1,0,1,0,0,0,0,0,0,0
pemn_98,0,1,0,0,1,0,0,0,0,0,0,0
bok_117,0,0,0,0,1,0,0,0,0,0,1,0
rna_72,0,1,0,0,1,0,0,0,0,0,0,0
mrd_136,0,0,0,0,1,0,1,0,0,0,0,0
fem_22a,0,0,1,0,1,0,0,0,0,0,0,0
fem_38b,0,1,0,0,0,0,0,1,0,0,0,0
ogw_115,0,0,0,0,0,1,0,0,0,0,1,0
bfz_192,0,0,0,0,0,0,1,1,0,0,0,0
ori_3,0,0,0,0,1,0,0,0,0,0,0,1
dom_27,0,0,0,0,1,0,0,0,0,0,0,1
tori_7,0,0,0,0,1,0,1,0,0,0,0,0
xln_270,0,1,0,0,0,0,0,0,1,0,0,0
ddr_38,0,1,0,0,0,0,0,1,0,0,0,0
eve_8,0,0,0,0,1,0,0,0,0,0,0,1
nph_29,0,0,1,0,1,0,0,0,0,0,0,0
bfz_4,0,0,0,1,1,0,0,0,0,0,0,0
pogw_110,0,0,0,0,1,0,0,0,0,0,1,0
lgn_55,0,0,1,0,1,0,0,0,0,0,0,0
hml_44b,0,1,0,0,1,0,0,0,0,0,0,0
usg_118,0,1,0,0,1,0,0,0,0,0,0,0
hml_7,0,0,0,0,1,0,0,0,0,0,0,1
avr_148,0,0,0,0,1,0,0,0,0,0,1,0
kld_146,0,0,0,0,0,0,1,1,0,0,0,0
ice_109,0,0,1,0,0,1,0,0,0,0,0,0
nem_119,0,0,0,0,1,0,1,0,0,0,0,0
lgn_92,0,0,0,0,1,0,0,0,0,0,1,0
usg_207,0,0,0,0,0,0,0,1,0,0,1,0
dtk_160,0,0,0,0,1,0,0,0,0,0,1,0
roe_96,0,1,0,0,0,1,0,0,0,0,0,0
takh_12,0,0,0,0,1,0,0,0,0,0,0,1
m11_155,0,0,0,0,0,0,0,1,0,0,1,0
isd_205,0,0,0,0,1,0,1,0,0,0,0,0
bfz_184,0,0,0,0,0,0,1,1,0,0,0,0
bok_55,0,0,1,0,1,0,0,0,0,0,0,0
grn_120,0,0,0,0,1,0,0,0,0,0,1,0
nem_90,0,0,0,0,1,0,0,0,0,0,1,0
mor_31,0,0,1,0,0,0,0,1,0,0,0,0
prm_69981,0,0,0,0,0,0,0,1,0,0,1,0
mor_33,0,0,1,0,1,0,0,0,0,0,0,0
bbd_49,0,1,0,0,1,0,0,0,0,0,0,0
all_130,1,0,0,1,0,0,0,0,0,0,0,0
ice_256,0,0,0,0,1,0,1,0,0,0,0,0
roe_126,0,1,0,0,0,0,0,1,0,0,0,0
palp_1,0,0,0,0,0,0,1,0,1,0,0,0
dtk_248,0,0,0,1,0,0,0,0,1,0,0,0
lgn_91,0,0,0,0,1,0,0,0,0,0,1,0
mmq_90,0,0,1,0,1,0,0,0,0,0,0,0
rav_75,0,0,1,0,1,0,0,0,0,0,0,0
m14_202,0,0,0,0,1,0,1,0,0,0,0,0
ala_17,0,0,0,0,1,0,0,0,0,0,0,1
bng_105,0,0,0,0,0,0,0,1,0,0,1,0
m11_92,0,1,0,0,1,0,0,0,0,0,0,0
zen_124,0,0,0,0,1,0,0,0,0,0,1,0
bfz_15,0,0,0,1,1,0,0,0,0,0,0,0
som_211,1,0,0,1,0,0,0,0,0,0,0,0
ons_232,0,0,0,0,0,0,0,1,0,0,1,0
gtc_86,0,0,0,0,1,0,0,0,0,0,1,0
mmq_319,0,0,0,0,0,0,1,0,1,0,0,0
soi_22,0,0,0,0,0,1,0,0,0,0,0,1
isd_1,0,0,0,0,1,0,0,0,0,0,0,1
ala_245,0,0,0,0,0,0,0,0,1,0,1,0
tmp_233,0,0,0,0,1,0,1,0,0,0,0,0
ths_16,0,0,0,0,0,0,0,1,0,0,0,1
roe_103,0,1,0,0,0,0,0,1,0,0,0,0
hml_37,0,0,1,0,1,0,0,0,0,0,0,0
5ed_265,0,0,0,0,0,0,0,1,0,0,1,0
grn_69,0,1,0,0,1,0,0,0,0,0,0,0
grn_5,0,0,0,0,0,0,0,1,0,0,0,1
pi14_16,0,0,1,0,0,0,0,1,0,0,0,0
zen_216,0,0,0,0,0,0,0,0,1,0,0,1
ice_309,1,0,0,1,0,0,0,0,0,0,0,0
5dn_59,0,1,0,0,0,0,0,1,0,0,0,0
prix_130,0,0,0,0,1,0,1,0,0,0,0,0
ori_135_back,0,0,0,0,0,0,0,0,0,1,1,0
m20_342,0,0,0,0,1,0,1,0,0,0,0,0
all_25,0,0,1,0,0,1,0,0,0,0,0,0
m15_44,0,0,1,0,0,0,0,1,0,0,0,0
mps_19,1,0,0,1,0,0,0,0,0,0,0,0
akh_101,0,1,0,0,0,1,0,0,0,0,0,0
grn_62,0,1,0,0,1,0,0,0,0,0,0,0
m12_233,0,0,0,0,0,0,0,0,1,0,0,1
eld_125,0,0,0,0,0,1,0,0,0,0,1,0
eld_141,0,0,0,0,1,0,0,0,0,0,1,0
dgm_26,0,1,0,0,1,0,0,0,0,0,0,0
por_103,0,1,0,0,0,0,0,1,0,0,0,0
exo_122,0,0,0,0,1,0,1,0,0,0,0,0
pcy_57,0,1,0,0,1,0,0,0,0,0,0,0
8ed_92,0,0,1,0,0,0,0,1,0,0,0,0
wwk_4,0,0,0,0,1,0,0,0,0,0,0,1
roe_78,0,0,1,0,1,0,0,0,0,0,0,0
scg_13,0,0,0,0,1,0,0,0,0,0,0,1
shm_129,0,0,0,0,1,0,1,0,0,0,0,0
uds_68,0,1,0,0,1,0,0,0,0,0,0,0
m19_168,0,0,0,0,1,0,0,0,0,0,1,0
me3_66,0,1,0,0,0,0,0,1,0,0,0,0
mrd_233,1,0,0,1,0,0,0,0,0,0,0,0
inv_19,0,0,0,0,0,1,0,0,0,0,0,1
mh1_14,0,0,0,0,1,0,0,0,0,0,0,1
hou_111,0,0,0,0,0,0,1,1,0,0,0,0
tsoi_12,1,0,0,1,0,0,0,0,0,0,0,0
5dn_130,1,0,0,1,0,0,0,0,0,0,0,0
7ed_335,0,0,1,0,0,0,0,0,1,0,0,0
jou_103,0,0,0,0,0,0,0,1,0,0,1,0
mrd_38,0,0,1,0,1,0,0,0,0,0,0,0
avr_124,0,1,0,0,0,1,0,0,0,0,0,0
pcy_89,0,0,0,0,1,0,0,0,0,0,1,0
por_100,0,1,0,0,0,0,0,1,0,0,0,0
m13_68,0,0,1,0,0,0,0,1,0,0,0,0
rna_12,0,0,0,0,1,0,0,0,0,0,0,1
ogw_5,0,0,0,1,1,0,0,0,0,0,0,0
dst_36,0,0,1,0,0,0,0,1,0,0,0,0
pwp11_76,0,1,0,0,1,0,0,0,0,0,0,0
m13_140,0,0,0,0,0,0,0,1,0,0,1,0
dka_41,0,0,1,0,0,0,0,1,0,0,0,0
8ed_115,0,0,1,0,0,1,0,0,0,0,0,0
nph_61,0,1,0,0,0,0,0,1,0,0,0,0
lrw_108,0,1,0,0,1,0,0,0,0,0,0,0
sld_6,0,1,0,0,1,0,0,0,0,0,0,0
kld_155,0,0,0,0,1,0,1,0,0,0,0,0
scg_53,0,0,1,0,0,0,0,1,0,0,0,0
wwk_5,0,0,0,0,1,0,0,0,0,0,0,1
con_81,0,0,0,0,1,0,1,0,0,0,0,0
mmq_229,0,0,0,0,0,1,1,0,0,0,0,0
v11_13,0,0,1,0,1,0,0,0,0,0,0,0
soi_118,0,1,0,0,1,0,0,0,0,0,0,0
vis_156,1,0,0,1,0,0,0,0,0,0,0,0
all_67b,0,0,0,0,0,1,0,0,0,0,1,0
sld_8,0,0,0,0,0,0,1,1,0,0,0,0
soi_224,0,0,0,0,0,0,1,1,0,0,0,0
dtk_202,0,0,0,0,1,0,1,0,0,0,0,0
usg_267,0,0,0,0,0,0,1,1,0,0,0,0
c19_87,0,0,1,0,1,0,0,0,0,0,0,0
shm_130,0,0,0,0,0,0,1,1,0,0,0,0
som_108,0,0,0,0,1,0,1,0,0,0,0,0
ana_23,0,0,1,0,1,0,0,0,0,0,0,0
pbfz_50,0,0,0,0,0,1,0,0,0,0,0,1
mma_221,0,0,0,1,0,0,0,0,1,0,0,0
aer_39,0,0,1,0,0,0,0,1,0,0,0,0
avr_29,0,0,0,0,1,0,0,0,0,0,0,1
m12_96,0,1,0,0,1,0,0,0,0,0,0,0
9ed_232,0,0,0,0,0,1,1,0,0,0,0,0
ps14_1,0,0,0,0,0,0,0,0,0,1,0,1
roe_2,0,0,0,1,1,0,0,0,0,0,0,0
cns_82,0,0,0,0,1,0,0,0,0,0,0,1
m12_249,0,0,0,0,0,0,1,0,1,0,0,0
pls_24,0,0,1,0,0,0,0,1,0,0,0,0
ori_102,0,1,0,0,0,1,0,0,0,0,0,0
p08_4,0,0,0,0,0,0,0,1,0,0,0,1
hou_52,0,0,1,0,1,0,0,0,0,0,0,0
kld_61,0,0,1,0,0,0,0,1,0,0,0,0
inv_9,0,0,0,0,0,0,0,1,0,0,0,1
btd_81,0,0,1,0,0,0,0,0,1,0,0,0
kld_173,0,0,0,0,1,0,1,0,0,0,0,0
dom_6,0,0,0,0,1,0,0,0,0,0,0,1
pelp_7,0,0,1,0,0,0,0,0,1,0,0,0
roe_177,0,0,0,0,0,1,1,0,0,0,0,0
usg_82,0,0,1,0,0,1,0,0,0,0,0,0
con_72,0,0,0,0,1,0,0,0,0,0,1,0
frf_29,0,0,0,0,1,0,0,0,0,0,0,1
lrw_174,0,0,0,0,1,0,0,0,0,0,1,0
p02_116,0,0,0,0,0,0,0,1,0,0,1,0
soi_31,0,0,0,0,1,0,0,0,0,0,0,1
gtc_75,0,1,0,0,1,0,0,0,0,0,0,0
dst_24,0,0,1,0,0,0,0,1,0,0,0,0
m19_42,0,0,0,0,1,0,0,0,0,0,0,1
8ed_75,0,0,1,0,0,1,0,0,0,0,0,0
p02_119,0,0,0,0,0,0,0,1,0,0,1,0
sok_93,0,0,0,0,1,0,0,0,0,0,1,0
usg_325,0,0,0,0,0,0,0,0,1,0,0,1
aer_13,0,0,0,0,1,0,0,0,0,0,0,1
mir_109,0,1,0,0,1,0,0,0,0,0,0,0
fut_167,1,0,0,1,0,0,0,0,0,0,0,0
lea_228,0,0,0,0,0,1,1,0,0,0,0,0
m13_101,0,1,0,0,0,0,0,1,0,0,0,0
por_96,0,1,0,0,0,0,0,1,0,0,0,0
zen_173,0,0,0,0,1,0,1,0,0,0,0,0
5ed_445,0,0,0,0,0,0,0,0,1,0,1,0
vis_159,1,0,0,1,0,0,0,0,0,0,0,0
eve_28,0,0,1,0,1,0,0,0,0,0,0,0
cp2_2,0,1,0,0,0,0,0,1,0,0,0,0
ori_88,0,1,0,0,0,0,0,1,0,0,0,0
war_107,0,1,0,0,1,0,0,0,0,0,0,0
jou_128,0,0,0,0,1,0,1,0,0,0,0,0
usg_177,0,0,0,0,0,1,0,0,0,0,1,0
pidw_2,0,0,0,0,0,0,0,1,0,0,1,0
hop_31,0,1,0,0,0,0,0,1,0,0,0,0
tktk_4,0,0,0,0,1,0,0,0,0,0,0,1
avr_32,0,0,0,0,1,0,0,0,0,0,0,1
emn_203,0,0,0,1,0,0,0,0,1,0,0,0
m12_29,0,0,0,0,1,0,0,0,0,0,0,1
m14_63,0,0,1,0,1,0,0,0,0,0,0,0
ths_245,0,0,0,0,0,0,0,0,1,0,1,0
soi_291,0,1,0,0,0,0,0,0,1,0,0,0
atq_15,0,1,0,0,0,1,0,0,0,0,0,0
soi_97_back,0,1,0,0,0,1,0,0,0,0,0,0
j17_8,0,0,0,0,0,0,1,0,1,0,0,0
fem_80b,0,0,0,0,1,0,1,0,0,0,0,0
dom_32,0,0,0,0,1,0,0,0,0,0,0,1
c14_6,0,0,0,0,0,0,0,1,0,0,0,1
mbs_7,0,0,0,0,1,0,0,0,0,0,0,1
sok_61,0,1,0,0,1,0,0,0,0,0,0,0
ths_233,0,0,0,0,0,0,0,0,1,0,0,1
kld_168,0,0,0,0,1,0,1,0,0,0,0,0
ori_67,0,0,1,0,0,0,0,1,0,0,0,0
ice_154,0,1,0,0,0,1,0,0,0,0,0,0
nem_7,0,0,0,0,1,0,0,0,0,0,0,1
m10_123,0,1,0,0,1,0,0,0,0,0,0,0
m12_176,0,0,0,0,1,0,1,0,0,0,0,0
tfth_1,0,0,0,1,1,0,0,0,0,0,0,0
nem_29,0,0,1,0,1,0,0,0,0,0,0,0
mh1_226,1,0,0,1,0,0,0,0,0,0,0,0
sok_32,0,0,1,0,0,0,0,1,0,0,0,0
m10_200,0,0,0,0,1,0,1,0,0,0,0,0
rav_288,0,0,0,0,0,0,0,0,1,0,0,1
apc_61,0,0,0,0,1,0,0,0,0,0,1,0
ths_107,0,1,0,0,0,0,0,1,0,0,0,0
5ed_380,1,0,0,1,0,0,0,0,0,0,0,0
m14_22,0,0,0,0,1,0,0,0,0,0,0,1
dgm_36,0,0,0,0,1,0,0,0,0,0,1,0
mmq_177,0,0,0,0,0,0,0,1,0,0,1,0
inv_342,0,1,0,0,0,0,0,0,1,0,0,0
mmq_107,0,0,1,0,1,0,0,0,0,0,0,0
mor_114,0,0,0,0,1,0,1,0,0,0,0,0
roe_47,0,0,0,0,1,0,0,0,0,0,0,1
sok_39,0,0,1,0,1,0,0,0,0,0,0,0
m19_149,0,0,0,0,1,0,0,0,0,0,1,0
eld_283,0,0,1,0,1,0,0,0,0,0,0,0
bfz_3,0,0,0,1,1,0,0,0,0,0,0,0
bfz_121,0,1,0,0,0,1,0,0,0,0,0,0
scg_133,0,0,0,0,1,0,1,0,0,0,0,0
p02_18,0,0,0,0,0,0,0,1,0,0,0,1
p08_5,0,0,0,0,0,0,1,1,0,0,0,0
aer_6,0,0,0,0,0,0,0,1,0,0,0,1
bbd_46,0,1,0,0,1,0,0,0,0,0,0,0
dst_79,0,0,0,0,0,0,1,1,0,0,0,0
prm_59655,0,0,0,0,0,0,1,0,1,0,0,0
isd_75,0,0,1,0,0,0,0,1,0,0,0,0
grn_45,0,0,1,0,1,0,0,0,0,0,0,0
shm_6,0,0,0,0,1,0,0,0,0,0,0,1
leg_19,0,0,0,0,0,0,0,1,0,0,0,1
bok_158,1,0,0,1,0,0,0,0,0,0,0,0
c14_58,1,0,0,1,0,0,0,0,0,0,0,0
c14_21,0,1,0,0,1,0,0,0,0,0,0,0
leg_7,0,0,0,0,1,0,0,0,0,0,0,1
isd_8_back,0,1,0,0,1,0,0,0,0,0,0,0
dom_62,0,0,1,0,1,0,0,0,0,0,0,0
c18_24,0,0,0,0,1,0,0,0,0,0,1,0
mir_85,0,0,1,0,0,0,0,1,0,0,0,0
m19_96,0,1,0,0,1,0,0,0,0,0,0,0
ons_228,0,0,0,0,1,0,0,0,0,0,1,0
pelp_9,0,0,0,0,0,0,0,0,1,0,0,1
scg_83,0,0,0,0,0,0,0,1,0,0,1,0
bok_86,0,1,0,0,1,0,0,0,0,0,0,0
inv_149,0,0,0,0,1,0,0,0,0,0,1,0
ori_267,0,0,0,0,0,0,0,0,1,0,1,0
7ed_57,0,0,0,0,0,0,0,1,0,0,0,1
